OBJECTID,LOCNUM,SALESVOL,X,Y
174,404248791,44250,-118.95449999999994,35.39490000000011
175,462284852,26029,-119.04699999999994,36.07850000000015
176,435039877,35495,-119.91039999999992,36.830800000000146
177,719636383,35258,-119.84729999999996,36.80950000000012
178,806059713,49693,-119.7711,36.78050000000005
179,209707728,35495,-119.78859999999996,36.8216000000001
180,946129087,59158,-119.79049999999994,36.845700000000086
181,230022386,60815,-119.69879999999995,36.80710000000002
182,619695380,59158,-119.72599999999991,36.83770000000006
183,688084896,35495,-119.2969,36.352100000000085
184,404474065,40228,-117.70619999999997,33.57120000000008
185,404476112,35495,-117.74499999999995,33.64870000000005
186,414417646,35495,-117.60759999999999,33.46210000000013
187,502581283,57975,-117.68849999999995,33.60640000000009
188,404469758,35495,-117.6829,33.62180000000005
189,404458826,42121,-117.59789999999998,33.64190000000006
190,404471984,35495,-118.29389999999995,33.76010000000008
191,404463486,60342,-118.28599999999993,33.80950000000007
192,617689435,35495,-118.26199999999992,33.84410000000006
193,404459118,52059,-118.31619999999998,33.88690000000008
194,404474080,35495,-118.3228,33.92370000000003
195,504270315,54426,-118.18169999999998,33.81610000000015
196,404460846,79272,-118.12519999999998,33.798000000000094
197,404459482,35495,-118.14209999999996,33.85050000000016
198,404469770,1183,-118.21950000000001,33.8796000000001
199,171552458,35495,-118.16869999999994,33.87760000000007
200,404462006,35495,-118.07189999999994,33.78440000000012
201,404476097,52059,-117.95559999999992,33.67120000000004
202,717869545,35495,-117.95319999999997,33.671500000000066
203,578101990,35495,-117.91769999999998,33.681200000000096
204,404463494,35495,-118.01139999999995,33.74520000000012
205,404471990,54426,-117.98909999999994,33.724200000000124
206,404465236,70990,-117.95619999999992,33.76130000000004
207,627255284,946,-118.0623,33.847500000000096
208,404476108,23900,-118.08779999999999,33.859400000000065
209,404467449,35495,-118.07569999999996,33.91810000000011
210,402495026,41411,-118.01309999999998,33.80390000000007
211,404469747,35495,-117.91329999999999,33.78790000000006
212,404474085,23663,-117.94269999999993,33.830900000000064
213,404462018,35495,-118.00169999999994,33.85890000000006
214,404467444,42594,-117.9619,33.877200000000165
215,404460858,23663,-117.92649999999999,33.859400000000065
216,262829559,35495,-117.95759999999997,33.91600000000003
217,404465220,70990,-118.33229999999998,33.94550000000004
218,425359753,35495,-118.2603999999999,34.04890000000009
219,404465218,54426,-118.1674,33.94830000000006
220,404467420,35495,-118.15029999999999,34.01790000000007
221,404469734,35495,-118.3293,34.19190000000003
222,404460845,35495,-118.25969999999992,34.1448000000001
223,404476098,47327,-118.14709999999998,34.091100000000075
224,404467415,94654,-118.22399999999999,34.14130000000004
225,404465215,58449,-118.13449999999993,34.14680000000005
