OBJECTID,LOCNUM,SALESVOL,SHAPE
970,665763736,33889,"{""y"": 25.940300000000068, ""x"": -80.29139999999994}"
971,430758204,33889,"{""y"": 25.98010000000004, ""x"": -80.3721}"
972,905713954,49704,"{""y"": 26.00910000000004, ""x"": -80.29899999999999}"
973,603895806,67779,"{""y"": 26.047800000000127, ""x"": -80.24979999999992}"
974,222826299,5648,"{""y"": 26.14610000000009, ""x"": -80.32469999999992}"
975,606283349,45186,"{""y"": 26.116800000000097, ""x"": -80.25759999999998}"
976,595651316,56482,"{""y"": 26.19370000000006, ""x"": -80.25419999999997}"
977,656532934,33889,"{""y"": 25.808700000000023, ""x"": -80.19509999999994}"
978,928621762,56482,"{""y"": 25.90640000000012, ""x"": -80.15689999999998}"
979,990087314,45186,"{""y"": 25.972000000000058, ""x"": -80.14089999999999}"
980,371155938,54223,"{""y"": 26.0125000000001, ""x"": -80.17289999999998}"
981,222826240,62131,"{""y"": 26.168100000000056, ""x"": -80.11559999999996}"
982,652310087,33889,"{""y"": 26.296900000000075, ""x"": -80.25229999999992}"
983,904169745,36149,"{""y"": 26.28370000000016, ""x"": -80.20179999999992}"
984,672215969,33889,"{""y"": 26.318000000000048, ""x"": -80.15259999999996}"
985,452556459,46541,"{""y"": 26.35500000000004, ""x"": -80.20489999999998}"
986,445662539,1581,"{""y"": 26.30200000000005, ""x"": -80.09259999999996}"
987,712907478,33889,"{""y"": 26.373400000000036, ""x"": -80.10899999999995}"
988,396149064,45186,"{""y"": 26.52630000000003, ""x"": -80.16549999999995}"
989,400757115,39537,"{""y"": 26.437500000000124, ""x"": -80.08509999999997}"
990,582709556,45412,"{""y"": 26.53360000000003, ""x"": -80.08859999999997}"
991,637377672,22593,"{""y"": 26.592800000000093, ""x"": -80.20569999999994}"
992,830053666,36149,"{""y"": 26.618000000000105, ""x"": -80.13699999999994}"
993,462370644,36149,"{""y"": 26.71090000000009, ""x"": -80.20299999999999}"
994,131833014,30274,"{""y"": 26.722400000000054, ""x"": -80.08509999999997}"
995,613841337,33889,"{""y"": 26.80520000000009, ""x"": -80.08279999999998}"
996,643586969,33889,"{""y"": 27.26790000000005, ""x"": -80.42959999999992}"
997,475607701,29371,"{""y"": 27.23710000000003, ""x"": -80.27179999999996}"
998,951849322,32534,"{""y"": 27.64030000000009, ""x"": -80.44779999999999}"
999,206337537,30768,"{""y"": 32.79220000000009, ""x"": -80.03089999999995}"
1000,231936246,34871,"{""y"": 32.8241000000001, ""x"": -79.81819999999993}"
1001,229796578,30768,"{""y"": 32.93340000000008, ""x"": -80.03489999999991}"
1002,254008857,28717,"{""y"": 33.03910000000013, ""x"": -80.16129999999997}"
1003,223529967,30768,"{""y"": 34.19310000000008, ""x"": -79.83789999999995}"
1004,421188073,30768,"{""y"": 33.65410000000006, ""x"": -78.98279999999994}"
1005,438040358,32240,"{""y"": 35.0213000000002, ""x"": -80.57929999999998}"
1006,934197302,53733,"{""y"": 35.05500000000004, ""x"": -78.97439999999992}"
1007,395959240,30768,"{""y"": 33.713200000000086, ""x"": -78.8937999999999}"
1008,984444851,45136,"{""y"": 34.24850000000009, ""x"": -77.88059999999994}"
1009,539292441,2364,"{""y"": 34.78780000000014, ""x"": -77.40289999999995}"
1010,988142303,29016,"{""y"": 36.068800000000145, ""x"": -80.32009999999997}"
1011,404078462,32240,"{""y"": 36.16810000000007, ""x"": -80.27859999999998}"
1012,644474520,21493,"{""y"": 35.99290000000009, ""x"": -80.00839999999992}"
1013,978704310,29660,"{""y"": 36.05870000000005, ""x"": -79.90319999999993}"
1014,644479131,25792,"{""y"": 36.10970000000002, ""x"": -80.09949999999996}"
1015,630261386,32240,"{""y"": 36.11380000000001, ""x"": -79.87669999999996}"
1016,563323898,32240,"{""y"": 36.1047000000001, ""x"": -79.82109999999992}"
1017,395959307,32240,"{""y"": 36.06650000000008, ""x"": -79.51999999999995}"
1018,637377094,1289,"{""y"": 35.90390000000011, ""x"": -78.95309999999996}"
1019,264496274,64480,"{""y"": 35.96950000000008, ""x"": -78.95749999999995}"
1020,558826962,26782,"{""y"": 37.15790000000011, ""x"": -80.42409999999995}"
1021,402304395,36423,"{""y"": 37.29990000000001, ""x"": -79.95789999999991}"
1022,697900405,32138,"{""y"": 36.60030000000005, ""x"": -79.41719999999998}"
1023,556530830,29996,"{""y"": 37.345800000000054, ""x"": -79.19089999999991}"
1024,427922848,32240,"{""y"": 35.660400000000024, ""x"": -78.85139999999998}"
1025,395958960,32240,"{""y"": 35.744900000000044, ""x"": -78.87779999999997}"
1026,414435066,32240,"{""y"": 35.80560000000004, ""x"": -78.81579999999995}"
1027,904999893,53733,"{""y"": 35.757799999999996, ""x"": -78.73859999999993}"
1028,402304102,30090,"{""y"": 35.71550000000012, ""x"": -78.63839999999995}"
1029,244652905,32240,"{""y"": 35.6875000000001, ""x"": -78.57959999999999}"
1030,633618202,32240,"{""y"": 35.79800000000002, ""x"": -78.5098}"
1031,700132065,32240,"{""y"": 35.845800000000125, ""x"": -78.88559999999998}"
1032,264497314,32240,"{""y"": 35.90370000000014, ""x"": -78.78749999999995}"
1033,980471346,30090,"{""y"": 35.871300000000076, ""x"": -78.71779999999997}"
1034,359426103,42986,"{""y"": 35.83630000000007, ""x"": -78.64109999999991}"
1035,395959844,42986,"{""y"": 35.86630000000007, ""x"": -78.56809999999996}"
1036,435039685,214,"{""y"": 35.97420000000001, ""x"": -78.54199999999997}"
1037,439349211,32240,"{""y"": 35.38360000000008, ""x"": -77.93999999999993}"
1038,940072911,21708,"{""y"": 35.3802000000001, ""x"": -77.93909999999991}"
1039,618814404,42986,"{""y"": 35.74310000000009, ""x"": -77.96309999999995}"
1040,952094928,32240,"{""y"": 35.578900000000054, ""x"": -77.38289999999994}"
1041,907134191,25792,"{""y"": 35.97190000000005, ""x"": -77.81309999999995}"
1042,979919636,7499,"{""y"": 37.24810000000015, ""x"": -77.38869999999997}"
1043,975558818,21425,"{""y"": 37.35080000000002, ""x"": -77.41019999999999}"
1044,958696676,34389,"{""y"": 35.101500000000044, ""x"": -77.09639999999993}"
1045,208504118,32138,"{""y"": 36.82320000000016, ""x"": -76.41499999999995}"
1046,631674041,42851,"{""y"": 37.10700000000003, ""x"": -76.4951}"
1047,401466225,32138,"{""y"": 37.04190000000013, ""x"": -76.39219999999993}"
1048,697900611,32138,"{""y"": 37.25900000000004, ""x"": -76.64119999999996}"
1049,509761292,32138,"{""y"": 37.27020000000009, ""x"": -76.75859999999996}"
